AgentID,total_neighbors,VIM,VI,NVIM,NVI
0,43,0.18604651162790697,0.32558139534883723,0.0,0.5348837209302325
1,33,0.36363636363636365,0.36363636363636365,0.030303030303030304,0.3939393939393939
2,36,0.2777777777777778,0.2777777777777778,0.027777777777777776,0.6388888888888888
3,62,0.3064516129032258,0.20967741935483872,0.08064516129032258,0.4838709677419355
4,81,0.32098765432098764,0.18518518518518517,0.1111111111111111,0.4567901234567901
5,36,0.3333333333333333,0.2777777777777778,0.027777777777777776,0.5
6,19,0.15789473684210525,0.15789473684210525,0.05263157894736842,0.631578947368421
7,17,0.5882352941176471,0.29411764705882354,0.0,0.35294117647058826
8,47,0.3191489361702128,0.2765957446808511,0.02127659574468085,0.5319148936170213
9,44,0.36363636363636365,0.29545454545454547,0.022727272727272728,0.4772727272727273
10,17,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.6470588235294118
11,25,0.24,0.28,0.04,0.52
12,17,0.29411764705882354,0.17647058823529413,0.058823529411764705,0.5294117647058824
13,69,0.2753623188405797,0.3333333333333333,0.014492753623188406,0.5217391304347826
14,35,0.2,0.2571428571428571,0.0,0.6571428571428571
15,86,0.3953488372093023,0.43023255813953487,0.0,0.4418604651162791
16,16,0.4375,0.3125,0.0,0.375
17,88,0.36363636363636365,0.3409090909090909,0.056818181818181816,0.42045454545454547
18,16,0.5,0.375,0.0625,0.4375
19,62,0.4032258064516129,0.27419354838709675,0.03225806451612903,0.41935483870967744
20,24,0.4166666666666667,0.25,0.041666666666666664,0.4166666666666667
21,113,0.3274336283185841,0.36283185840707965,0.017699115044247787,0.504424778761062
22,52,0.3076923076923077,0.3076923076923077,0.019230769230769232,0.5769230769230769
23,53,0.4339622641509434,0.24528301886792453,0.07547169811320754,0.3584905660377358
24,27,0.3333333333333333,0.2962962962962963,0.0,0.48148148148148145
25,29,0.3103448275862069,0.20689655172413793,0.06896551724137931,0.4482758620689655
26,57,0.42105263157894735,0.2982456140350877,0.05263157894736842,0.45614035087719296
27,33,0.42424242424242425,0.21212121212121213,0.09090909090909091,0.36363636363636365
28,18,0.3888888888888889,0.3333333333333333,0.0,0.4444444444444444
29,90,0.32222222222222224,0.32222222222222224,0.03333333333333333,0.4444444444444444
30,12,0.16666666666666666,0.4166666666666667,0.0,0.5
31,66,0.3484848484848485,0.42424242424242425,0.015151515151515152,0.4696969696969697
32,31,0.3548387096774194,0.22580645161290322,0.0967741935483871,0.5483870967741935
