Infected_strain_1,Infected_strain_2,Susceptible,Vaccinated,Recovered_strain_1,Recovered_strain_2
15,0,2985,0,0,0
61,0,2939,0,0,0
175,0,2825,0,1,0
321,0,2679,0,5,0
470,0,2530,0,9,0
629,0,2371,0,12,0
826,0,2174,0,21,0
1047,0,1953,0,23,0
1309,0,1691,0,37,0
1561,0,1430,32,37,0
1817,0,1165,54,54,0
2073,0,897,109,64,0
2295,0,660,126,77,0
2433,0,500,150,139,0
2525,0,387,170,167,0
2608,0,285,220,185,0
2671,1,198,302,199,0
2646,4,174,357,254,0
2618,5,157,478,306,0
2560,5,156,524,376,0
2543,6,124,590,413,0
2481,6,125,621,486,1
2446,8,120,693,527,1
2413,9,126,716,562,0
2379,10,126,745,597,1
2358,12,118,776,620,3
2333,15,127,852,645,3
2323,19,106,942,658,2
2281,25,100,988,700,4
2238,25,101,1046,744,6
2192,34,108,1124,790,6
2137,34,117,1157,845,6
2115,38,89,1247,869,7
2079,35,98,1299,906,12
2031,38,101,1349,954,12
1985,44,114,1445,1000,11
1955,44,113,1457,1031,16
1943,50,98,1534,1043,17
1906,56,97,1610,1080,22
1884,63,95,1684,1103,24
1879,67,85,1725,1110,28
1818,74,99,1759,1171,30
1779,85,118,1716,1212,31
1782,97,101,1777,1210,30
1741,104,123,1846,1251,32
1716,107,116,1837,1277,35
1690,122,128,1872,1304,35
1683,137,140,1815,1311,39
1672,152,132,1828,1322,39
1664,164,177,1769,1330,43
