vaccine_effectiveness_strain_1,vaccine_effectiveness_strain_2,final_size_strain_1,final_size_strain_2,total_infection
0.6666666666666666,0.0,0.7458,0.009,0.7548
0.6666666666666666,0.1111111111111111,0.768,0.0182,0.7862
0.6666666666666666,0.2222222222222222,0.7658,0.02,0.7858
0.6666666666666666,0.3333333333333333,0.7614,0.0074,0.7687999999999999
0.6666666666666666,0.4444444444444444,0.7282,0.0234,0.7515999999999999
0.6666666666666666,0.5555555555555556,0.7064,0.0172,0.7236
0.6666666666666666,0.6666666666666666,0.7412,0.006,0.7472
0.6666666666666666,0.7777777777777777,0.6972,0.0038,0.7010000000000001
0.6666666666666666,0.8888888888888888,0.7528,0.0038,0.7566
0.6666666666666666,1.0,0.7188,0.003,0.7218
0.7777777777777777,0.0,0.7132,0.0086,0.7218
0.7777777777777777,0.1111111111111111,0.7622,0.0014,0.7636
0.7777777777777777,0.2222222222222222,0.7116,0.0062,0.7178
0.7777777777777777,0.3333333333333333,0.6868,0.0186,0.7053999999999999
0.7777777777777777,0.4444444444444444,0.7084,0.0238,0.7322000000000001
0.7777777777777777,0.5555555555555556,0.6582,0.0272,0.6854
0.7777777777777777,0.6666666666666666,0.7126,0.0062,0.7188
0.7777777777777777,0.7777777777777777,0.7446,0.009,0.7536
0.7777777777777777,0.8888888888888888,0.7514,0.0014,0.7527999999999999
0.7777777777777777,1.0,0.6774,0.0122,0.6896
0.8888888888888888,0.0,0.6412,0.035,0.6762
0.8888888888888888,0.1111111111111111,0.6426,0.0512,0.6938
0.8888888888888888,0.2222222222222222,0.6582,0.0346,0.6928
0.8888888888888888,0.3333333333333333,0.68,0.0598,0.7398
0.8888888888888888,0.4444444444444444,0.6646,0.0156,0.6801999999999999
0.8888888888888888,0.5555555555555556,0.6668,0.0012,0.6679999999999999
0.8888888888888888,0.6666666666666666,0.7028,0.0094,0.7121999999999999
0.8888888888888888,0.7777777777777777,0.6684,0.0198,0.6882
0.8888888888888888,0.8888888888888888,0.673,0.02,0.6930000000000001
0.8888888888888888,1.0,0.707,0.0036,0.7106
1.0,0.0,0.6874,0.0974,0.7848
1.0,0.1111111111111111,0.7056,0.04,0.7456
1.0,0.2222222222222222,0.6106,0.0824,0.6930000000000001
1.0,0.3333333333333333,0.6416,0.0422,0.6838
1.0,0.4444444444444444,0.653,0.008,0.661
1.0,0.5555555555555556,0.607,0.055,0.662
1.0,0.6666666666666666,0.663,0.0016,0.6646000000000001
1.0,0.7777777777777777,0.6618,0.0076,0.6694000000000001
1.0,0.8888888888888888,0.6738,0.0088,0.6826
1.0,1.0,0.643,0.0028,0.6458
