vaccine_effectiveness_strain_1,vaccine_effectiveness_strain_2,final_size_strain_1,final_size_strain_2,total_infection
0.0,0.0,0.9524,0.0064,0.9588
0.0,0.1111111111111111,0.9582,0.0048,0.9630000000000001
0.0,0.2222222222222222,0.9614,0.0028,0.9642000000000001
0.0,0.3333333333333333,0.9548,0.0074,0.9621999999999999
0.0,0.4444444444444444,0.9552,0.0064,0.9616
0.0,0.5555555555555556,0.9564,0.0052,0.9616
0.0,0.6666666666666666,0.959,0.0022,0.9611999999999999
0.0,0.7777777777777777,0.9554,0.0044,0.9598
0.0,0.8888888888888888,0.9514,0.01,0.9614
0.0,1.0,0.954,0.002,0.956
0.1111111111111111,0.0,0.9208,0.0056,0.9264
0.1111111111111111,0.1111111111111111,0.9124,0.0044,0.9168
0.1111111111111111,0.2222222222222222,0.9148,0.0116,0.9263999999999999
0.1111111111111111,0.3333333333333333,0.9084,0.0068,0.9152
0.1111111111111111,0.4444444444444444,0.9158,0.0132,0.9289999999999999
0.1111111111111111,0.5555555555555556,0.913,0.0026,0.9156000000000001
0.1111111111111111,0.6666666666666666,0.9024,0.0122,0.9146
0.1111111111111111,0.7777777777777777,0.9158,0.0032,0.9189999999999999
0.1111111111111111,0.8888888888888888,0.907,0.0014,0.9084
0.1111111111111111,1.0,0.9082,0.0028,0.911
0.2222222222222222,0.0,0.8642,0.0314,0.8956
0.2222222222222222,0.1111111111111111,0.8784,0.0156,0.8939999999999999
0.2222222222222222,0.2222222222222222,0.8736,0.01,0.8836
0.2222222222222222,0.3333333333333333,0.888,0.0034,0.8914
0.2222222222222222,0.4444444444444444,0.8712,0.0122,0.8834
0.2222222222222222,0.5555555555555556,0.88,0.0032,0.8832
0.2222222222222222,0.6666666666666666,0.8918,0.0034,0.8952
0.2222222222222222,0.7777777777777777,0.878,0.0088,0.8868
0.2222222222222222,0.8888888888888888,0.873,0.0104,0.8834
0.2222222222222222,1.0,0.8734,0.0026,0.876
0.3333333333333333,0.0,0.8326,0.0258,0.8584
0.3333333333333333,0.1111111111111111,0.823,0.0116,0.8346
0.3333333333333333,0.2222222222222222,0.8566,0.006,0.8626
0.3333333333333333,0.3333333333333333,0.8338,0.0056,0.8394
0.3333333333333333,0.4444444444444444,0.8618,0.0056,0.8674000000000001
0.3333333333333333,0.5555555555555556,0.8318,0.016,0.8478
0.3333333333333333,0.6666666666666666,0.8376,0.009,0.8466
0.3333333333333333,0.7777777777777777,0.8396,0.004,0.8436
0.3333333333333333,0.8888888888888888,0.8534,0.0028,0.8562000000000001
0.3333333333333333,1.0,0.8496,0.003,0.8526
0.4444444444444444,0.0,0.8008,0.05,0.8508
0.4444444444444444,0.1111111111111111,0.8252,0.013,0.8382000000000001
0.4444444444444444,0.2222222222222222,0.7766,0.0352,0.8118
0.4444444444444444,0.3333333333333333,0.7916,0.0174,0.8089999999999999
0.4444444444444444,0.4444444444444444,0.795,0.022,0.8170000000000001
0.4444444444444444,0.5555555555555556,0.7766,0.0154,0.7919999999999999
0.4444444444444444,0.6666666666666666,0.8156,0.0046,0.8202
0.4444444444444444,0.7777777777777777,0.8286,0.0074,0.836
0.4444444444444444,0.8888888888888888,0.8072,0.0016,0.8088000000000001
0.4444444444444444,1.0,0.7984,0.0018,0.8002
0.5555555555555556,0.0,0.7994,0.0256,0.825
0.5555555555555556,0.1111111111111111,0.777,0.0264,0.8034
0.5555555555555556,0.2222222222222222,0.786,0.0154,0.8014
0.5555555555555556,0.3333333333333333,0.7832,0.0214,0.8046
0.5555555555555556,0.4444444444444444,0.7714,0.01,0.7814
0.5555555555555556,0.5555555555555556,0.753,0.0118,0.7648
0.5555555555555556,0.6666666666666666,0.7714,0.003,0.7744
0.5555555555555556,0.7777777777777777,0.7786,0.0012,0.7797999999999999
0.5555555555555556,0.8888888888888888,0.7712,0.009,0.7802
0.5555555555555556,1.0,0.7746,0.005,0.7796
