vaccine_effectiveness_strain_1,vaccine_effectiveness_strain_2,final_size_strain_1,final_size_strain_2,total_infection
0.0,0.0,0.9584,0.0036,0.9620000000000001
0.0,0.1111111111111111,0.9538,0.0046,0.9584
0.0,0.2222222222222222,0.9576,0.0022,0.9598
0.0,0.3333333333333333,0.958,0.002,0.96
0.0,0.4444444444444444,0.9536,0.0044,0.958
0.0,0.5555555555555556,0.9528,0.0076,0.9604
0.0,0.6666666666666666,0.9586,0.0026,0.9612
0.0,0.7777777777777777,0.944,0.0122,0.9561999999999999
0.0,0.8888888888888888,0.9542,0.0022,0.9564
0.0,1.0,0.9584,0.0014,0.9598
0.1111111111111111,0.0,0.9378,0.0004,0.9381999999999999
0.1111111111111111,0.1111111111111111,0.9232,0.013,0.9362
0.1111111111111111,0.2222222222222222,0.94,0.0066,0.9466
0.1111111111111111,0.3333333333333333,0.9354,0.008,0.9434
0.1111111111111111,0.4444444444444444,0.935,0.0048,0.9398000000000001
0.1111111111111111,0.5555555555555556,0.9396,0.0014,0.941
0.1111111111111111,0.6666666666666666,0.9394,0.0022,0.9416
0.1111111111111111,0.7777777777777777,0.93,0.0082,0.9382
0.1111111111111111,0.8888888888888888,0.945,0.0054,0.9503999999999999
0.1111111111111111,1.0,0.935,0.0056,0.9406000000000001
0.2222222222222222,0.0,0.9198,0.0096,0.9294
0.2222222222222222,0.1111111111111111,0.9072,0.0092,0.9164
0.2222222222222222,0.2222222222222222,0.9218,0.0036,0.9254
0.2222222222222222,0.3333333333333333,0.9238,0.007,0.9308
0.2222222222222222,0.4444444444444444,0.9236,0.0046,0.9282
0.2222222222222222,0.5555555555555556,0.9274,0.0036,0.931
0.2222222222222222,0.6666666666666666,0.922,0.0024,0.9244
0.2222222222222222,0.7777777777777777,0.913,0.015,0.928
0.2222222222222222,0.8888888888888888,0.9254,0.004,0.9294
0.2222222222222222,1.0,0.9174,0.0022,0.9196
0.3333333333333333,0.0,0.9006,0.0102,0.9107999999999999
0.3333333333333333,0.1111111111111111,0.8844,0.0106,0.895
0.3333333333333333,0.2222222222222222,0.8974,0.007,0.9044
0.3333333333333333,0.3333333333333333,0.9048,0.0064,0.9112
0.3333333333333333,0.4444444444444444,0.8968,0.0054,0.9022
0.3333333333333333,0.5555555555555556,0.9066,0.0034,0.9099999999999999
0.3333333333333333,0.6666666666666666,0.8878,0.0072,0.895
0.3333333333333333,0.7777777777777777,0.8978,0.0074,0.9052
