vaccine_effectiveness_strain_1,vaccine_effectiveness_strain_2,final_size_strain_1,final_size_strain_2,total_infection
0.0,0.0,0.9546666666666667,0.005,0.9596666666666667
0.0,0.1111111111111111,0.9586666666666667,0.005333333333333333,0.964
0.0,0.2222222222222222,0.9516666666666667,0.004,0.9556666666666667
0.0,0.3333333333333333,0.9573333333333334,0.0016666666666666668,0.9590000000000001
0.0,0.4444444444444444,0.9536666666666667,0.004,0.9576666666666667
0.0,0.5555555555555556,0.9573333333333334,0.0016666666666666668,0.9590000000000001
0.0,0.6666666666666666,0.9523333333333334,0.0033333333333333335,0.9556666666666667
0.0,0.7777777777777777,0.952,0.0026666666666666666,0.9546666666666667
0.0,0.8888888888888888,0.9506666666666667,0.002,0.9526666666666667
0.0,1.0,0.9553333333333334,0.004,0.9593333333333334
0.1111111111111111,0.0,0.8903333333333333,0.015333333333333332,0.9056666666666666
0.1111111111111111,0.1111111111111111,0.8786666666666667,0.037333333333333336,0.916
0.1111111111111111,0.2222222222222222,0.909,0.0013333333333333333,0.9103333333333333
0.1111111111111111,0.3333333333333333,0.9013333333333333,0.004333333333333333,0.9056666666666666
0.1111111111111111,0.4444444444444444,0.8996666666666666,0.0036666666666666666,0.9033333333333333
0.1111111111111111,0.5555555555555556,0.9,0.014666666666666666,0.9146666666666667
0.1111111111111111,0.6666666666666666,0.8963333333333333,0.007333333333333333,0.9036666666666666
0.1111111111111111,0.7777777777777777,0.8993333333333333,0.0026666666666666666,0.902
0.1111111111111111,0.8888888888888888,0.897,0.010333333333333333,0.9073333333333333
0.1111111111111111,1.0,0.9093333333333333,0.0026666666666666666,0.912
0.2222222222222222,0.0,0.8376666666666667,0.023333333333333334,0.861
0.2222222222222222,0.1111111111111111,0.865,0.0003333333333333333,0.8653333333333333
0.2222222222222222,0.2222222222222222,0.843,0.018333333333333333,0.8613333333333333
0.2222222222222222,0.3333333333333333,0.8516666666666667,0.012666666666666666,0.8643333333333334
0.2222222222222222,0.4444444444444444,0.874,0.011,0.885
0.2222222222222222,0.5555555555555556,0.8526666666666667,0.006333333333333333,0.859
0.2222222222222222,0.6666666666666666,0.8693333333333333,0.008,0.8773333333333333
0.2222222222222222,0.7777777777777777,0.841,0.0,0.841
0.2222222222222222,0.8888888888888888,0.8533333333333334,0.007666666666666666,0.8610000000000001
0.2222222222222222,1.0,0.8683333333333333,0.0023333333333333335,0.8706666666666666
0.3333333333333333,0.0,0.784,0.012666666666666666,0.7966666666666667
0.3333333333333333,0.1111111111111111,0.8126666666666666,0.015,0.8276666666666667
0.3333333333333333,0.2222222222222222,0.7983333333333333,0.011333333333333334,0.8096666666666666
0.3333333333333333,0.3333333333333333,0.804,0.012,0.8160000000000001
0.3333333333333333,0.4444444444444444,0.793,0.024333333333333332,0.8173333333333334
0.3333333333333333,0.5555555555555556,0.812,0.0003333333333333333,0.8123333333333334
0.3333333333333333,0.6666666666666666,0.78,0.028333333333333332,0.8083333333333333
0.3333333333333333,0.7777777777777777,0.821,0.002,0.823
0.3333333333333333,0.8888888888888888,0.8043333333333333,0.005,0.8093333333333333
0.3333333333333333,1.0,0.8033333333333333,0.0036666666666666666,0.807
0.4444444444444444,0.0,0.7533333333333333,0.008,0.7613333333333333
0.4444444444444444,0.1111111111111111,0.7476666666666667,0.007333333333333333,0.755
0.4444444444444444,0.2222222222222222,0.7506666666666667,0.031,0.7816666666666667
0.4444444444444444,0.3333333333333333,0.7733333333333333,0.0013333333333333333,0.7746666666666666
0.4444444444444444,0.4444444444444444,0.7506666666666667,0.010333333333333333,0.761
0.4444444444444444,0.5555555555555556,0.7693333333333333,0.005333333333333333,0.7746666666666666
0.4444444444444444,0.6666666666666666,0.73,0.008666666666666666,0.7386666666666667
0.4444444444444444,0.7777777777777777,0.7606666666666667,0.007,0.7676666666666667
0.4444444444444444,0.8888888888888888,0.7596666666666667,0.009666666666666667,0.7693333333333334
0.4444444444444444,1.0,0.763,0.005666666666666667,0.7686666666666667
0.5555555555555556,0.0,0.7173333333333334,0.03833333333333333,0.7556666666666667
0.5555555555555556,0.1111111111111111,0.7046666666666667,0.05533333333333333,0.76
0.5555555555555556,0.2222222222222222,0.7016666666666667,0.015,0.7166666666666667
0.5555555555555556,0.3333333333333333,0.6736666666666666,0.036,0.7096666666666667
0.5555555555555556,0.4444444444444444,0.7,0.014666666666666666,0.7146666666666667
0.5555555555555556,0.5555555555555556,0.7276666666666667,0.009,0.7366666666666667
0.5555555555555556,0.6666666666666666,0.725,0.004666666666666667,0.7296666666666667
0.5555555555555556,0.7777777777777777,0.737,0.0013333333333333333,0.7383333333333333
0.5555555555555556,0.8888888888888888,0.7256666666666667,0.0033333333333333335,0.729
0.5555555555555556,1.0,0.6956666666666667,0.011,0.7066666666666667
0.6666666666666666,0.0,0.666,0.051,0.7170000000000001
0.6666666666666666,0.1111111111111111,0.669,0.014666666666666666,0.6836666666666668
0.6666666666666666,0.2222222222222222,0.6663333333333333,0.06833333333333333,0.7346666666666667
0.6666666666666666,0.3333333333333333,0.657,0.02666666666666667,0.6836666666666666
0.6666666666666666,0.4444444444444444,0.6756666666666666,0.0016666666666666668,0.6773333333333333
0.6666666666666666,0.5555555555555556,0.695,0.012666666666666666,0.7076666666666667
0.6666666666666666,0.6666666666666666,0.683,0.0016666666666666668,0.6846666666666668
0.6666666666666666,0.7777777777777777,0.657,0.052333333333333336,0.7093333333333334
0.6666666666666666,0.8888888888888888,0.6426666666666667,0.01,0.6526666666666667
0.6666666666666666,1.0,0.6796666666666666,0.0006666666666666666,0.6803333333333333
0.7777777777777777,0.0,0.6593333333333333,0.038,0.6973333333333334
0.7777777777777777,0.1111111111111111,0.5736666666666667,0.10366666666666667,0.6773333333333333
0.7777777777777777,0.2222222222222222,0.6523333333333333,0.01,0.6623333333333333
0.7777777777777777,0.3333333333333333,0.612,0.02,0.632
0.7777777777777777,0.4444444444444444,0.6673333333333333,0.008666666666666666,0.676
0.7777777777777777,0.5555555555555556,0.6696666666666666,0.017333333333333333,0.6869999999999999
0.7777777777777777,0.6666666666666666,0.5956666666666667,0.028,0.6236666666666667
0.7777777777777777,0.7777777777777777,0.6513333333333333,0.01633333333333333,0.6676666666666666
0.7777777777777777,0.8888888888888888,0.6436666666666667,0.013,0.6566666666666667
0.7777777777777777,1.0,0.6583333333333333,0.005666666666666667,0.664
0.8888888888888888,0.0,0.613,0.022,0.635
0.8888888888888888,0.1111111111111111,0.6566666666666666,0.014666666666666666,0.6713333333333333
0.8888888888888888,0.2222222222222222,0.537,0.11033333333333334,0.6473333333333333
0.8888888888888888,0.3333333333333333,0.6063333333333333,0.021,0.6273333333333333
0.8888888888888888,0.4444444444444444,0.637,0.02,0.657
0.8888888888888888,0.5555555555555556,0.6153333333333333,0.009666666666666667,0.625
0.8888888888888888,0.6666666666666666,0.596,0.042333333333333334,0.6383333333333333
0.8888888888888888,0.7777777777777777,0.661,0.01633333333333333,0.6773333333333333
0.8888888888888888,0.8888888888888888,0.573,0.0006666666666666666,0.5736666666666667
0.8888888888888888,1.0,0.6003333333333334,0.017666666666666667,0.6180000000000001
1.0,0.0,0.5923333333333334,0.05566666666666667,0.648
1.0,0.1111111111111111,0.615,0.050333333333333334,0.6653333333333333
1.0,0.2222222222222222,0.5063333333333333,0.108,0.6143333333333333
1.0,0.3333333333333333,0.5813333333333334,0.07733333333333334,0.6586666666666667
1.0,0.4444444444444444,0.5746666666666667,0.018666666666666668,0.5933333333333334
