Infected_strain_1,Infected_strain_2,Susceptible,Vaccinated,Recovered_strain_1,Recovered_strain_2
50,0,9950,0,0,0
235,0,9765,0,0,0
626,0,9374,0,3,0
1110,0,8890,0,8,0
1793,0,8207,0,24,0
2620,0,7380,0,37,0
3475,0,6525,0,64,0
4504,0,5496,0,97,0
5519,0,4481,0,98,0
6344,0,3602,136,128,0
6949,0,2909,327,234,0
7489,0,2303,455,283,0
7784,0,1893,713,377,0
7934,1,1618,925,499,0
8014,1,1425,1058,648,0
8077,1,1215,1209,792,0
8095,3,1042,1493,956,0
8114,8,859,1793,1108,0
8074,12,721,2063,1283,0
7999,15,624,2195,1491,2
7956,26,484,2398,1641,3
7862,44,427,2467,1797,4
7783,56,385,2603,1928,4
7678,68,404,2686,2065,6
7625,78,351,3020,2126,8
7521,78,348,3199,2241,15
7446,81,313,3357,2324,16
7321,82,340,3439,2458,19
7239,94,344,3730,2548,21
7096,101,350,3935,2699,24
6994,106,361,4064,2807,34
6925,118,317,4267,2888,39
6846,126,311,4376,2975,46
6764,138,328,4605,3065,51
6698,157,290,4751,3136,56
6583,175,330,4830,3256,70
6531,195,310,5049,3317,77
6480,211,274,5318,3372,92
6391,243,251,5491,3467,89
6304,273,276,5624,3557,88
6217,298,322,5548,3651,98
6180,329,351,5649,3695,109
6121,368,389,5584,3761,121
6085,392,439,5472,3800,137
6090,418,451,5516,3800,144
6038,435,476,5612,3853,162
5940,466,516,5625,3952,172
5853,494,601,5539,4040,182
5822,525,642,5463,4074,204
5752,584,722,5233,4152,217
5724,625,744,5244,4182,230
5716,658,765,5158,4190,252
5663,685,795,5122,4250,281
5687,731,732,5235,4230,289
5680,774,690,5375,4238,305
5614,839,776,5110,4307,310
5593,881,812,4968,4332,333
5655,937,760,5094,4273,349
5618,990,744,5080,4310,375
5567,1069,814,5015,4363,380
5567,1123,785,4950,4365,411
5565,1174,738,5128,4368,429
5502,1205,721,5170,4432,484
5445,1271,652,5369,4490,501
5270,1342,687,5279,4665,530
5179,1399,679,5300,4757,574
5141,1475,646,5356,4797,590
5109,1538,642,5411,4831,622
5036,1616,675,5267,4904,650
4986,1674,628,5352,4956,692
4919,1769,612,5473,5025,706
4859,1818,586,5552,5085,745
4815,1886,611,5513,5130,795
4718,1979,550,5741,5227,830
4629,2035,552,5720,5317,882
4576,2099,581,5544,5371,914
4538,2161,606,5350,5411,964
4483,2254,644,5273,5466,984
4456,2346,631,5201,5493,1021
4415,2456,640,5084,5536,1038
4408,2553,562,5376,5543,1063
4338,2622,584,5299,5614,1104
4325,2715,543,5393,5627,1126
4295,2780,494,5541,5657,1181
4207,2855,514,5617,5745,1218
4151,2919,522,5490,5802,1267
4102,2994,497,5455,5851,1297
4044,3095,459,5651,5909,1335
3986,3143,503,5549,5968,1427
3937,3242,442,5815,6018,1448
3867,3331,468,5647,6088,1486
3808,3411,469,5780,6147,1551
3779,3498,483,5719,6176,1613
3707,3558,474,5525,6249,1675
3676,3610,492,5515,6281,1757
3587,3713,498,5451,6370,1803
3548,3782,468,5361,6409,1850
3486,3872,488,5297,6471,1870
3481,3944,494,5111,6476,1896
3437,4022,489,5094,6521,1910
